wavelength_m,real_chi_or_n,imag_chi_or_n
4.242252020873042088e-07,1.000511664149600355e+00,5.366793396802430442e-09
4.251929853565588232e-07,1.000511670523914987e+00,5.923237598762000105e-09
4.261607686258134375e-07,1.000511022880739231e+00,6.083917894895070121e-09
4.271285518950680519e-07,1.000510583339976334e+00,5.964172587108391905e-09
4.280963351643226662e-07,1.000510585652117035e+00,5.690613428798715204e-09
4.290641184335772806e-07,1.000509651912232734e+00,5.424039489760485531e-09
4.300319017028319478e-07,1.000509511360043957e+00,5.434864269420486965e-09
4.309996849720865622e-07,1.000509523426494241e+00,5.906238038714117155e-09
4.319674682413411765e-07,1.000509526256384119e+00,6.677036794258241734e-09
4.329352515105957909e-07,1.000508465969070393e+00,7.364156719881051223e-09
4.339030347798504052e-07,1.000508443721397578e+00,7.527393510880473915e-09
4.348708180491050725e-07,1.000508451235427643e+00,7.523338703832902870e-09
4.358386013183596869e-07,1.000507299573077269e+00,7.453678240538310394e-09
4.368063845876143012e-07,1.000507375845735680e+00,7.616537548407528727e-09
4.377741678568689155e-07,1.000507375131073129e+00,8.384494583502878280e-09
4.387419511261235299e-07,1.000506735972155337e+00,9.618487160781251521e-09
4.397097343953781442e-07,1.000506294121375150e+00,1.133648757221324926e-08
4.406775176646328115e-07,1.000506300805365845e+00,1.280473416676757799e-08
4.416453009338874259e-07,1.000506277674041655e+00,1.452604616717423770e-08
4.426130842031420402e-07,1.000505266449775998e+00,1.559997518416361668e-08
4.435808674723966546e-07,1.000505220055971867e+00,1.612055528258624478e-08
4.445486507416512689e-07,1.000505228874037256e+00,1.541059171275573256e-08
4.455164340109059362e-07,1.000505343513538703e+00,1.431301858276761909e-08
4.464842172801605505e-07,1.000504174727493201e+00,1.348864095315602466e-08
4.474520005494151649e-07,1.000504156631907948e+00,1.356083236777261583e-08
4.484197838186697792e-07,1.000504157745230716e+00,1.435229850743261743e-08
4.493875670879243936e-07,1.000504269835777116e+00,1.603648627116073834e-08
4.503553503571790079e-07,1.000503103116659132e+00,1.712828196013353752e-08
4.513231336264336752e-07,1.000503084083588679e+00,1.791669576905020015e-08
4.522909168956882896e-07,1.000503083857685827e+00,1.780724795714657649e-08
4.532587001649429039e-07,1.000503194314456001e+00,1.756547908371856196e-08
4.542264834341975182e-07,1.000502008124623421e+00,1.817540424920974104e-08
4.551942667034521326e-07,1.000502011973471550e+00,1.910278393856955393e-08
4.561620499727067999e-07,1.000502008460899317e+00,2.114520458660282146e-08
4.571298332419614142e-07,1.000502070116172204e+00,2.410939626455863598e-08
4.580976165112160286e-07,1.000500859805832032e+00,2.740882735730150789e-08
4.590653997804706429e-07,1.000500937930679068e+00,3.081949046081060331e-08
4.600331830497252573e-07,1.000500937878215257e+00,3.455777623051317966e-08
4.610009663189798716e-07,1.000500943487514061e+00,3.724417096355115726e-08
4.619687495882345389e-07,1.000500780970212888e+00,3.798798849269950283e-08
4.629365328574891532e-07,1.000499892341259356e+00,3.724930413137952424e-08
4.639043161267437676e-07,1.000499865075474837e+00,3.581304419163739128e-08
4.648720993959983819e-07,1.000499863594766614e+00,3.351085220798704818e-08
4.658398826652529963e-07,1.000499834795394616e+00,3.228718350588705149e-08
4.668076659345076636e-07,1.000498917333557003e+00,3.304432834796407284e-08
4.677754492037622779e-07,1.000498786138094731e+00,3.416302196515749161e-08
4.687432324730168923e-07,1.000498791146726019e+00,3.672314575788414626e-08
4.697110157422715066e-07,1.000498789832449109e+00,3.886989239074966114e-08
4.706787990115261210e-07,1.000498794430389138e+00,3.958089697478454959e-08
